season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;39.47;0;7;1;2;0;0;1;8.93;-1;2.72;2.45;4.28;3.80;2.52;2.43;4.45;4.43
2014-2015;39.47;0;8;1;1;0;0;1;0;-2;2.72;2.45;4.28;3.80;2.52;2.43;4.45;4.43
2014-2015;44.31;0;9;2;0;1;0;1;4.84;-3;2.72;2.45;4.28;3.80;2.52;2.43;4.45;4.43
2014-2015;47.02;0;10;3;-1;1;0;1;2.71;-4;2.72;2.45;4.28;3.80;2.52;2.43;4.45;4.43
2014-2015;54.13;1;11;3;-2;0;0;1;7.11;-5;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;56.55;0;12;3;-1;0;0;1;2.42;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;4.26;0;1;0;0;0;1;1;;0;;;;;2.02;3.08;3.90;4.17
2014-2015;5.02;0;2;0;-1;0;1;1;0.76;-1;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;10.43;1;3;1;-2;1;1;1;5.41;-2;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;12.56;1;4;1;-1;0;1;1;2.13;1;2.02;3.08;3.90;4.17;2.03;2.87;4.25;3.93
2014-2015;19.46;0;5;1;0;0;1;1;6.9;2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;28.03;1;6;1;-1;0;1;1;8.57;-1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;32.57;1;7;1;0;0;1;1;4.54;1;2.02;3.08;3.90;4.17;2.03;2.87;4.25;3.93
2014-2015;34.01;0;8;1;1;0;1;1;1.44;2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;39.58;0;13;1;0;0;1;1;5.57;-1;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;40.45;0;14;1;-1;0;1;1;0.87;-2;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;44.56;0;15;2;-2;1;1;1;4.11;-3;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;54.17;0;16;3;-3;1;1;1;9.61;-4;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;60;1;17;3;-4;0;1;1;5.83;-5;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;2.26;0;1;0;0;0;0;1;;0;;;;;2.58;2.05;4.32;3.97
2014-2015;11.47;0;2;0;-1;0;0;1;9.21;-1;2.23;1.92;3.72;3.73;2.58;2.05;4.32;3.97
2014-2015;14.45;0;3;0;-2;0;0;1;2.98;-2;2.23;1.92;3.72;3.73;2.58;2.05;4.32;3.97
2014-2015;22.41;1;4;0;-3;0;0;1;7.96;-3;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;25.57;0;5;0;-2;0;0;1;3.16;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;45.51;1;6;0;-3;1;0;1;19.94;-1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;56.29;1;7;0;-2;0;0;1;10.78;1;2.58;2.05;4.32;3.97;2.23;1.92;3.72;3.73
2014-2015;2.51;0;1;0;0;0;0;1;;0;;;;;2.52;2.38;3.97;3.80
2014-2015;9.09;0;2;0;-1;0;0;1;6.58;-1;2.90;2.52;3.90;4.40;2.52;2.38;3.97;3.80
2014-2015;12.36;0;3;1;-2;1;0;1;3.27;-2;2.90;2.52;3.90;4.40;2.52;2.38;3.97;3.80
2014-2015;15.51;1;4;1;-3;0;0;1;3.15;-3;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;19.54;1;5;1;-2;0;0;1;4.03;1;2.52;2.38;3.97;3.80;2.90;2.52;3.90;4.40
2014-2015;21.09;1;6;1;-1;0;0;1;1.55;2;2.52;2.38;3.97;3.80;2.90;2.52;3.90;4.40
2014-2015;29.27;1;7;2;0;0;0;1;8.18;3;2.52;2.38;3.97;3.80;2.90;2.52;3.90;4.40
2014-2015;44.04;0;8;2;1;0;0;1;14.77;4;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;47.16;0;9;2;0;0;0;1;3.12;-1;2.90;2.52;3.90;4.40;2.52;2.38;3.97;3.80
2014-2015;57.02;0;10;2;-1;0;0;1;9.86;-2;2.90;2.52;3.90;4.40;2.52;2.38;3.97;3.80
2014-2015;9.39;1;1;0;0;0;0;1;;0;;;;;2.95;2.50;4.23;3.28
2014-2015;10.45;0;2;-1;1;0;0;1;1.06;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;23.4;1;3;0;0;1;0;1;12.95;-1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;24.08;0;4;0;1;0;0;1;0.68;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;27.26;1;5;-1;0;0;0;1;3.18;-1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;30.08;0;6;-1;1;0;0;1;2.82;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;36.11;1;7;-1;0;0;0;1;6.03;-1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;45.39;0;8;-1;1;0;0;1;9.28;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;46.52;1;9;-1;0;0;0;1;1.13;-1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;55.59;1;10;-2;1;0;0;1;9.07;1;2.78;2.10;3.58;3.73;2.95;2.50;4.23;3.28
2014-2015;0.31;0;1;0;0;0;0;1;;0;;;;;2.95;2.50;4.23;3.28
2014-2015;7.45;0;2;0;-1;0;0;1;7.14;-1;2.02;3.08;3.90;4.17;2.95;2.50;4.23;3.28
2014-2015;25.51;0;3;0;-2;1;0;1;18.06;-2;2.02;3.08;3.90;4.17;2.95;2.50;4.23;3.28
2014-2015;31.12;1;4;0;-3;0;0;1;5.61;-3;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;51.21;0;5;2;-2;0;0;1;20.09;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;58.28;0;6;5;-3;0;0;1;7.07;-1;2.02;3.08;3.90;4.17;2.95;2.50;4.23;3.28
2014-2015;1.5;0;1;0;0;0;0;1;;0;;;;;2.50;2.68;4.30;4.47
2014-2015;3.11;1;2;0;-1;0;0;1;1.61;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;14.21;0;3;1;0;0;0;1;11.1;1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;17.54;1;4;2;-1;1;0;1;3.33;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;19.57;1;5;2;0;0;0;1;2.03;1;2.50;2.68;4.30;4.47;2.78;2.10;3.58;3.73
2014-2015;25.49;0;8;2;1;0;0;1;5.92;2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
