id;season;year;date;homeTeam;awayTeam;name;time;type;home;numpen;goaldiff;pendiff;ppgoal;capacity;reason;month;inRow;timebetpens;referees;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Janne Ritamäki;3.06;2;1;1;0;0;0;0;kiinnipitäminen;1;0;;Antti Boman-Jari Leppäalho;;;;;2.38;2.75;3.55;3.83
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Zach Hamill;7.09;2;0;2;-1;1;0;0;koukkaaminen;1;1;4.03;Antti Boman-Jari Leppäalho;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Pekka Saarenheimo;11.3;2;1;3;-1;0;0;0;kampitus;1;-1;4.21;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Craig Schira;23.28;2;0;4;-1;1;0;0;koukkaaminen;1;1;11.98;Antti Boman-Jari Leppäalho;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Aleksi Laakso;28.26;2;0;5;0;0;1;0;koukkaaminen;1;-1;4.98;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Jesse Saarinen;34.51;2;0;6;1;-1;0;0;koukkaaminen;1;-2;6.25;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Saku Salminen;36.34;2;0;7;1;-2;0;0;huitominen;1;-3;1.83;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Juhani Tyrväinen;44.14;2;1;8;1;-3;0;0;koukkaaminen;1;-4;7.8;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Antti Bruun;46.38;5;0;9;1;-2;0;0;ryntäys;1;1;2.24;Antti Boman-Jari Leppäalho;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
6136;2014-2015;2015;12.9.2014;Pelicans;HPK;Juhani Tyrväinen;56.17;2;1;10;2;-3;1;0;pelin viivyttäminen - kiekko katsomoon;1;-1;9.79;Antti Boman-Jari Leppäalho;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Adam Masuhr;1;2;0;1;0;0;0;0;pelin viivyttäminen - kiekko katsomoon;1;0;;Lassi Heikkinen-Tom Laaksonen;;;;;2.03;2.87;4.25;3.93
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Nicolas Deschamps;6.41;2;0;2;1;-1;0;0;huitominen;1;-1;5.41;Lassi Heikkinen-Tom Laaksonen;2.78;2.1;3.58;3.73;2.03;2.87;4.25;3.93
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Juho Keränen;11.14;2;0;3;1;-2;0;0;estäminen;1;-2;4.73;Lassi Heikkinen-Tom Laaksonen;2.78;2.1;3.58;3.73;2.03;2.87;4.25;3.93
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Niklas Friman;19.42;2;1;4;1;-3;0;0;koukkaaminen;1;-3;8.28;Lassi Heikkinen-Tom Laaksonen;2.78;2.1;3.58;3.73;2.78;2.1;3.58;3.73
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Matias Sointu;21;2;1;5;1;-2;0;0;korkea maila;1;1;1.58;Lassi Heikkinen-Tom Laaksonen;2.03;2.87;4.25;3.93;2.78;2.1;3.58;3.73
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Nicolas Deschamps;25.52;2;0;6;0;-1;1;0;huitominen;1;2;4.52;Lassi Heikkinen-Tom Laaksonen;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Jakub Nakladal;30.5;2;1;7;-1;-2;0;0;kiinnipitäminen;1;-1;4.98;Lassi Heikkinen-Tom Laaksonen;2.78;2.1;3.58;3.73;2.78;2.1;3.58;3.73
6137;2014-2015;2015;12.9.2014;TPS;Kärpät;Ryan Glenn;34.14;2;0;8;-1;-1;0;0;huitominen;1;1;3.64;Lassi Heikkinen-Tom Laaksonen;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
